ID,League,Player,Team,Minutes,Goals,NPG,NPG/90,xG,NPxG,NPxG/90,NPxG Overperf,NP Shots,NP Shot Qual,NP Fin Ratio
831697,Belgium,Ryotaro Ito,Sint-Truidense VV,2086,7,4,0.17,6.79,4.42,0.19,-0.42,55,0.08,0.07
339901,Belgium,Vincent Janssen,Royal Antwerp FC,2226,7,4,0.16,8.91,6.54,0.26,-2.54,61,0.11,0.07
920744,Denmark,Ola Solbakken,FC Nordsjælland,1172,6,4,0.31,5.64,4.06,0.31,-0.06,29,0.14,0.14
309306,Turkey,Bruno Petković,Kocaelispor,1311,6,4,0.27,5.25,3.67,0.25,0.33,22,0.17,0.18
790817,Austria,Shon Weissman,FC Blau Weiss Linz,1419,6,4,0.25,6.35,4.77,0.3,-0.77,34,0.14,0.12
578380,Denmark,Jordan Larsson,FC København,1541,6,4,0.23,6.52,4.94,0.29,-0.94,44,0.11,0.09
1157829,Scotland,Amar Fatah,Dundee United,1578,6,4,0.23,4.72,2.35,0.13,1.65,36,0.07,0.11
904096,Turkey,Barış Alper Yılmaz,Galatasaray,1661,6,4,0.22,6.84,5.26,0.29,-1.26,46,0.11,0.09
945097,Croatia,Tiago Dantas,HNK Rijeka,1764,5,4,0.2,3.34,2.55,0.13,1.45,24,0.11,0.17
312056,Greece,Sebastián Palacios,APO Levadiakos,1824,5,4,0.2,5.94,4.36,0.22,-0.36,36,0.12,0.11
843445,Croatia,Ivan Mamut,NK Varaždin,1484,8,3,0.18,10.07,6.12,0.37,-3.12,45,0.14,0.07
877837,Denmark,Fiete Arp,Odense Boldklub,1687,8,3,0.16,6.73,2.78,0.15,0.22,32,0.09,0.09
611880,Portugal,Murilo Souza,Gil Vicente,1800,7,3,0.15,7.39,4.23,0.21,-1.23,47,0.09,0.06
126074,Scotland,James Tavernier,Rangers,1902,7,3,0.14,6.23,2.28,0.11,0.72,32,0.07,0.09
214308,Scotland,Martin Boyle,Hibernian,1606,6,3,0.17,7.94,5.57,0.31,-2.57,43,0.13,0.07
1117723,Portugal,Sidny Lopes Cabral,Benfica,1667,6,3,0.16,4.53,2.16,0.12,0.84,46,0.05,0.07
892635,Austria,Dejan Zukić,Wolfsberger AC,1825,6,3,0.15,6.58,4.21,0.21,-1.21,40,0.11,0.07
576438,Greece,Karol Świderski,Panathinaikos FC,994,5,3,0.27,6.63,4.26,0.39,-1.26,29,0.15,0.1
35193,Netherlands,Ricky van Wolfswinkel,FC Twente,1545,8,2,0.12,8.54,3.8,0.22,-1.8,32,0.12,0.06
114076,Greece,Anastasios Bakasetas,Panathinaikos FC,1375,5,2,0.13,4.87,2.5,0.16,-0.5,35,0.07,0.06
892905,Scotland,Apostolos Stamatelopoulos,Motherwell,872,6,1,0.1,8.58,4.63,0.48,-3.63,24,0.19,0.04
156566,Croatia,Marko Pajač,NK Lokomotiva Zagreb,1689,6,0,0.0,5.3,0.56,0.03,-0.56,11,0.05,0.0
